case;singular;plural
tr;milletaoliseks;milletaolisiks, milletaolisteks, milletaoliseiks
ter;milletaoliseni;milletaolisteni
es;milletaolisena;milletaolistena
ab;milletaoliseta;milletaolisteta
kom;milletaolisega;milletaolistega
n;milline;millised
g;millise;milliste
p;millist;milliseid
ill;millisesse;millistesse, milliseisse
in;millises;millistes, milliseis
el;millisest;millistest, milliseist
all;millisele;millistele, milliseile
ad;millisel;millistel, milliseil
abl;milliselt;millistelt, milliseilt
tr;milliseks;millisteks, milliseiks
ter;milliseni;millisteni, milliseini
es;millisena;millistena, milliseina
ab;milliseta;millisteta
kom;millisega;millistega
n;ma, mina, mina;me, meie, minad
g;mina, minu, mu;me, meie, minade
p;mind, mina;meid, minasid
ill;minasse, minusse, musse;meisse, minadesse
in;minas, minus, mus;meis, minades
el;minast, minust, must;meist, minadest
all;minale, minule, mulle;meile, minadele
ad;minal, minul, mul;meil, minadel
abl;minalt, minult, mult;meilt, minadelt
tr;minaks, minuks;meiks, meieks, minadeks
ter;minani, minuni;meieni, minadeni
es;minana, minuna;meiena, minadena
ab;minata, minuta;meieta, minadeta
kom;minaga, minuga, muga;meiega, minadega
n;minake;minakesed
g;minakese;minakeste
p;minakest;minakesi
ill;minakesesse;minakesisse, minakestesse
in;minakeses;minakesis, minakestes
el;minakesest;minakesist, minakestest
all;minakesele;minakesile, minakestele
ad;minakesel;minakesil, minakestel
abl;minakeselt;minakesilt, minakestelt
tr;minakeseks;minakesiks, minakesteks
ter;minakeseni;minakesteni
es;minakesena;minakestena
ab;minakeseta;minakesteta
kom;minakesega;minakestega
n;mingi;mingid
g;mingi;mingite
p;mingit;mingeid
ill;mingisse;mingeisse, mingitesse
in;mingis;mingeis, mingites
el;mingist;mingeist, mingitest
all;mingile;mingeile, mingitele
ad;mingil;mingeil, mingitel
abl;mingilt;mingeilt, mingitelt
tr;mingiks;mingeiks, mingiteks
ter;mingini;mingeini, mingiteni
es;mingina;mingeina, mingitena
ab;mingita;mingiteta
kom;mingiga;mingitega
n;mingisugune;mingisugused
g;mingisuguse;mingisuguste
p;mingisugust;mingisuguseid
ill;mingisugusesse;mingisugustesse, mingisuguseisse
in;mingisuguses;mingisugustes, mingisuguseis
el;mingisugusest;mingisugustest, mingisuguseist
all;mingisugusele;mingisugustele, mingisuguseile
ad;mingisugusel;mingisugustel, mingisuguseil
abl;mingisuguselt;mingisugustelt, mingisuguseilt
tr;mingisuguseks;mingisugusteks, mingisuguseiks
ter;mingisuguseni;mingisugusteni, mingisuguseini
es;mingisugusena;mingisugustena, mingisuguseina
ab;mingisuguseta;mingisugusteta
kom;mingisugusega;mingisugustega
n;minusugune;minusugused
g;minusuguse;minusuguste
p;minusugust;minusuguseid
ill;minusugusesse;minusugustesse, minusuguseisse
in;minusuguses;minusugustes, minusuguseis
el;minusugusest;minusugustest, minusuguseist
all;minusugusele;minusugustele, minusuguseile
ad;minusugusel;minusugustel, minusuguseil
abl;minusuguselt;minusugustelt, minusuguseilt
tr;minusuguseks;minusugusteks, minusuguseiks
ter;minusuguseni;minusugusteni, minusuguseini
es;minusugusena;minusugustena, minusuguseina
ab;minusuguseta;minusugusteta
kom;minusugusega;minusugustega
n;minutaoline;minutaolised
g;minutaolise;minutaoliste
p;minutaolist;minutaolisi, minutaoliseid
ill;minutaolisesse;minutaolisisse, minutaolistesse, minutaoliseisse
in;minutaolises;minutaolisis, minutaolistes, minutaoliseis
el;minutaolisest;minutaolisist, minutaolistest, minutaoliseist
all;minutaolisele;minutaolisile, minutaolistele, minutaoliseile
ad;minutaolisel;minutaolisil, minutaolistel, minutaoliseil
abl;minutaoliselt;minutaolisilt, minutaolistelt, minutaoliseilt
tr;minutaoliseks;minutaolisiks, minutaolisteks, minutaoliseiks
ter;minutaoliseni;minutaolisteni
es;minutaolisena;minutaolistena
ab;minutaoliseta;minutaolisteta
kom;minutaolisega;minutaolistega
n;mis;mis
g;mille;mille, millede
p;mida;mida
ill;millesse;milledesse, millesse
in;milles;milledes, milles
el;millest;milledest, millest
all;millele;milledele, millele
ad;mil, millel;milledel, millel
abl;milt, millelt;milledelt, millelt
tr;milleks;milledeks, milleks
ter;milleni;milledeni, milleni
es;millena;milledena, millena
ab;milleta;milledeta, milleta
kom;millega;milledega, millega
n;miski, miski;miskid
g;millegi, miski;miskite
p;midagi, miskit;miskeid
ill;millessegi, miskisse;miskeisse, miskitesse
in;milleski, miskis;miskeis, miskites
el;millestki, miskist;miskeist, miskitest
all;millelegi, miskile;miskeile, miskitele
ad;millelgi, miskil;miskeil, miskitel
abl;milleltki, miskilt;miskeilt, miskitelt
tr;millekski, miskiks;miskeiks, miskiteks
ter;millenigi, miskini;miskeini, miskiteni
es;millenagi, miskina;miskeina, miskitena
ab;milletagi, miskita;miskiteta
kom;millegagi, miskiga;miskitega
n;miskisugune;miskisugused
g;miskisuguse;miskisuguste
p;miskisugust;miskisuguseid
ill;miskisugusesse;miskisugustesse, miskisuguseisse
in;miskisuguses;miskisugustes, miskisuguseis
el;miskisugusest;miskisugustest, miskisuguseist
all;miskisugusele;miskisugustele, miskisuguseile
ad;miskisugusel;miskisugustel, miskisuguseil
abl;miskisuguselt;miskisugustelt, miskisuguseilt
tr;miskisuguseks;miskisugusteks, miskisuguseiks
ter;miskisuguseni;miskisugusteni, miskisuguseini
es;miskisugusena;miskisugustena, miskisuguseina
ab;miskisuguseta;miskisugusteta
kom;miskisugusega;miskisugustega
n;missugune;missugused
g;missuguse;missuguste
p;missugust;missuguseid
ill;missugusesse;missugustesse, missuguseisse
in;missuguses;missugustes, missuguseis
el;missugusest;missugustest, missuguseist
all;missugusele;missugustele, missuguseile
ad;missugusel;missugustel, missuguseil
abl;missuguselt;missugustelt, missuguseilt
tr;missuguseks;missugusteks, missuguseiks
ter;missuguseni;missugusteni, missuguseini
es;missugusena;missugustena, missuguseina
ab;missuguseta;missugusteta
kom;missugusega;missugustega
n;misuke;misukesed
