aa
paa
pah
pahh
pakaa
pamm
pantsti
pardon
pardonks
parlartsti
parts
partsti
partsumdi
partsumm
pastoi
pats
patst
patsti
pau
pauh
pauhti
pele
pfui
phuh
phuuh
phäh
phähh
piiks
piip
piiri-pääri
pimm
pimm-pamm
pimm-pomm
pimm-põmm
piraki
piuks
piu-pau
plaks
plaksti
plarts
plartsti
plats
platsti
plauh
plauhh
plauhti
pliks
pliks-plaks
plinn
pliraki
plirts
plirtsti
pliu
pliuh
ploks
plotsti
plumps
plumpsti
plõks
plõksti
plõmdi
plõmm
plõnn
plärr
plärts
plärtsat
plärtsti
pläu
pläuh
plää
plörtsat
pomm
popp
pops
popsti
ports
pot
pots
potsti
pott
praks
praksti
prants
prantsaki
prantsti
prassai
prauh
prauhh
prauhti
priks
priuh
priuhh
priuh-prauh
proosit
proost
prr
prrr
prõks
prõksti
prõmdi
prõmm
prõntsti
prääk
prääks
pst
psst
ptrr
ptruu
ptüi
puh
puhh
puksti
pumm
pumps
pup-pup-pup
purts
puuh
põks
põksti
põmdi
põmm
põmmadi
põnks
põnn
põnnadi
põnt
põnts
põntsti
põraki
põrr
põrra-põrra
päh
pähh
päntsti
pää
pöörd
püh
raks
raksti
raps
rapsti
ratataa
rauh
riips
riipsti
riks
riks-raks
rips-raps
rivitult
robaki
rops
ropsaki
ropsti
ruik
räntsti
räts
röh
röhh
sah
sahh
sahkat
saps
sapsti
sauh
sauhti
servus
sihkadi-sahkadi
sihka-sahka
sihkat-sahkat
silks
silk-solk
sips
sipsti
sirr
sirr-sorr
sirts
sirtsti
siu
siuh
siuh-sauh
siuh-säuh
siuhti
siuks
siuts
skool
so
soh
solks
solksti
solpsti
soo
sooh
so-oh
soo-oh
sopp
sops
sopsti
sorr
sorts
sortsti
so-soo
soss
soss-soss
ss
sss
sst
stopp
suhkat-sahkat
sulk
sulks
sulksti
sull
sulla-sulla
sulpa-sulpa
sulps
sulpsti
sumaki
sumdi
summ
summat-summat
sups
supsaku
supsti
surts
surtsti
suss
susti
suts
sutsti
säh
sähke
särts
särtsti
säu
säuh
säuhti
taevake
taevakene
takk
tere
terekest
tibi-tibi
tikk-takk
tiks
tilk
tilks
till
tilla-talla
till-tall
tilulii
tinn
tip
tip-tap
tirr
tirtsti
tiu
tjaa
tjah
tohhoh
tohhoo
tohoh
tohoo
tok
tokk
toks
toksti
tonks
tonksti
tota
totsti
tot-tot
tprr
tpruu
trah
trahh
trallallaa
trill
trillallaa
trr
trrr
tsah
tsahh
tsilk
tsilk-tsolk
tsirr
tsiuh
tskae
tsolk
tss
tst
tsst
tsuhh
tsuk
tsumm
tsurr
tsäuh
tšao
tšš
tššš
tuk
tuks
turts
turtsti
tutki
tutkit
tutu-lutu
tutulutu
tuut
tuutu-luutu
tõks
tötsti
tümps
uh
uhh
uh-huu
uhtsa
uhtsaa
uhuh
uhuu
ui
uih
uih-aih
uijah
uijeh
uist
uit
uka
upsti
uraa
urjah
urjeh
urjoh
urjuh
urr
urraa
ust
utu
uu
uuh
vaak
vaat
vae
vaeh
vai
vat
vau
vhüüt
vidiit
viiks
vilks
vilksti
vinki-vinki
virdi
virr
viu
viudi
viuh
viuhti
voeh
voh
vohh
volks
volksti
vooh
vops
vopsti
vot
vuh
vuhti
vuih
vulks
vulksti
vull
vulpsti
vups
vupsaki
vupsaku
vupsti
vurdi
vurr
vurra-vurra
vurts
vurtsti
vutt
võe
võeh
või
võih
võrr
võts
võtt
vääks
õe
õits
õk
õkk
õrr
õss
õuh
äh
ähh
ähhähhää
äh-hää
äh-äh-hää
äiu
äiu-ää
äss
ää
ääh
äähh
öh
öhh
ök
üh
